DESTABILIZING ENERGIES BY SIZE OF LOOP (INTERPOLATE WHERE NEEDED)
hp3 ave calc no tmm;hp4 ave calc with tmm; ave all bulges
SIZE         INTERNAL          BULGE            HAIRPIN
-------------------------------------------------------
1            .             3.11            .  
2            .             2.02            .  
3            .             2.66           4.75
4           0.70           3.54           5.32
5           1.19           3.27           5.24
6           1.00           3.40           4.99
7           2.20           4.60           5.03
8           2.30           4.70           4.84
9           2.40           4.80           5.40
10           2.50           4.90           6.50
11           2.60           5.00           6.60
12           2.70           5.10           6.70
13           2.80           5.20           6.80
14           2.90           5.30           6.90
15           3.00           5.40           6.90
16           3.00           5.40           7.00
17           3.10           5.50           7.10
18           3.10           5.50           7.10
19           3.20           5.60           7.20
20           3.30           5.70           7.20
21           3.30           5.70           7.30
22           3.40           5.80           7.30
23           3.40           5.80           7.40
24           3.40           5.80           7.40
25           3.50           5.90           7.50
26           3.50           5.90           7.50
27           3.60           6.00           7.50
28           3.60           6.00           7.60
29           3.60           6.00           7.60
30           3.70           6.10           7.70
